Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,2-Story 1946 & Newer,Residential Low Density,8450,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two story,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,196.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Good Living Quarters,706,Unfinished/No Basement,0,150,856,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,856,854,0,1710,1,0,2,1,3,1,Good,8,Typical Functionality,0,Attached to home,2003.0,Rough Finished,548,Typical/Average,Typical/Average,Paved,0,61,0,0,0,0,0,2,2008,Warranty Deed - Conventional,Normal Sale,208500
2,1-Story 1946 & Newer All Styles,Residential Low Density,9600,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of property,Gentle slope,Veenker,Adjacent to feeder street,Normal,Single-family Detached,One story,6,8,1976,1976,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Average Living Quarters,978,Unfinished/No Basement,0,284,1262,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1262,0,0,1262,0,1,2,0,3,1,Typical/Average,6,Typical Functionality,1,Attached to home,1976.0,Rough Finished,460,Typical/Average,Typical/Average,Paved,298,0,0,0,0,0,0,5,2007,Warranty Deed - Conventional,Normal Sale,181500
3,2-Story 1946 & Newer,Residential Low Density,11250,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two story,7,5,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,162.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living Quarters,486,Unfinished/No Basement,0,434,920,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,920,866,0,1786,1,0,2,1,3,1,Good,6,Typical Functionality,1,Attached to home,2001.0,Rough Finished,608,Typical/Average,Typical/Average,Paved,0,42,0,0,0,0,0,9,2008,Warranty Deed - Conventional,Normal Sale,223500
4,2-Story 1945 & Older,Residential Low Density,9550,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,Two story,7,5,1915,1970,Gable,Standard (Composite) Shingle,Wood Siding,Wood Shingles,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Good,No Exposure/No Basement,Average Living Quarters,216,Unfinished/No Basement,0,540,756,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,961,756,0,1717,1,0,1,0,3,1,Good,7,Typical Functionality,1,Detached from home,1998.0,Unfinished/No Garage,642,Typical/Average,Typical/Average,Paved,0,35,272,0,0,0,0,2,2006,Warranty Deed - Conventional,Abnormal Sale,140000
5,2-Story 1946 & Newer,Residential Low Density,14260,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of property,Gentle slope,Northridge,Normal,Normal,Single-family Detached,Two story,8,5,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,350.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,655,Unfinished/No Basement,0,490,1145,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1145,1053,0,2198,1,0,2,1,4,1,Good,9,Typical Functionality,1,Attached to home,2000.0,Rough Finished,836,Typical/Average,Typical/Average,Paved,192,84,0,0,0,0,0,12,2008,Warranty Deed - Conventional,Normal Sale,250000
6,1-1/2 Story Finished All Ages,Residential Low Density,14115,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Mitchell,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,5,5,1993,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Wood,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Good Living Quarters,732,Unfinished/No Basement,0,64,796,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,796,566,0,1362,1,0,1,1,1,1,Typical/Average,5,Typical Functionality,0,Attached to home,1993.0,Unfinished/No Garage,480,Typical/Average,Typical/Average,Paved,40,30,0,320,0,0,700,10,2009,Warranty Deed - Conventional,Normal Sale,143000
7,1-Story 1946 & Newer All Styles,Residential Low Density,10084,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,One story,8,5,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,186.0,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,1369,Unfinished/No Basement,0,317,1686,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1694,0,0,1694,1,0,2,0,3,1,Good,7,Typical Functionality,1,Attached to home,2004.0,Rough Finished,636,Typical/Average,Typical/Average,Paved,255,57,0,0,0,0,0,8,2007,Warranty Deed - Conventional,Normal Sale,307000
8,2-Story 1946 & Newer,Residential Low Density,10382,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northwest Ames,"Near positive off-site feature--park, greenbelt, etc.",Normal,Single-family Detached,Two story,7,6,1973,1973,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Stone,240.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living Quarters,859,Below Average Living Quarters,32,216,1107,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1107,983,0,2090,1,0,2,1,3,1,Typical/Average,7,Typical Functionality,2,Attached to home,1973.0,Rough Finished,484,Typical/Average,Typical/Average,Paved,235,204,228,0,0,0,350,11,2009,Warranty Deed - Conventional,Normal Sale,200000
9,1-1/2 Story Finished All Ages,Residential Medium Density,6120,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to arterial street,Normal,Single-family Detached,One and one-half story: 2nd level finished,7,5,1931,1950,Gable,Standard (Composite) Shingle,Brick Face,Wood Shingles,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,952,952,Gas forced warm air furnace,Good,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1022,752,0,1774,0,0,2,0,2,2,Typical/Average,8,Minor Deductions 1,2,Detached from home,1931.0,Unfinished/No Garage,468,Fair/No Garage,Typical/Average,Paved,90,0,205,0,0,0,0,4,2008,Warranty Deed - Conventional,Abnormal Sale,129900
10,2 Family Conversion - All Styles and Ages,Residential Low Density,7420,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Adjacent to arterial street,Adjacent to arterial street,Two-family Conversion; originally built as one-family dwelling,One and one-half story: 2nd level unfinished,5,6,1939,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Good Living Quarters,851,Unfinished/No Basement,0,140,991,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1077,0,0,1077,1,0,1,0,2,2,Typical/Average,5,Typical Functionality,2,Attached to home,1939.0,Rough Finished,205,Good,Typical/Average,Paved,0,4,0,0,0,0,0,1,2008,Warranty Deed - Conventional,Normal Sale,118000
